00000113;Cheddar;Great Value
00000114;Cottage cheese;Great Value
00000115;Cream cheese;Great Value
00000116;Feta;Great Value
00000117;Goat cheese;Great Value
00000118;Mozzarella;Great Value
00000119;Parmesan;Great Value
00000120;Provolone;Great Value
00000121;Ricotta;Great Value
00000122;Sandwich slices;Great Value
00000123;Swiss;Great Value
00000124;Bacon / Sausage;Great Value
00000125;Beef;Great Value
00000126;Chicken;Great Value
00000127;Ground beef / Turkey;Great Value
00000128;Ham / Pork;Great Value
00000129;Hot dogs;Great Value
00000130;Lunchmeat;Great Value
00000131;Turkey;Great Value
00000132;Catfish;Great Value
00000133;Crab;Great Value
00000134;Lobster;Great Value
00000135;Mussels;Great Value
00000136;Oysters;Great Value
00000137;Salmon;Great Value
00000138;Shrimp;Great Value
00000139;Tilapia;Great Value
00000140;Tuna;Great Value
00000141;Beer;Great Value
00000142;Club soda / Tonic;Great Value
00000143;Champagne;Great Value
00000144;Gin;Great Value
00000145;Juice;Great Value
00000146;Mixers;Great Value
00000147;Red wine / White wine;Great Value
00000148;Rum;Great Value
00000149;Saké;Great Value
00000150;Soda pop;Great Value
00000151;Sports drink;Great Value
00000152;Whiskey;Great Value
00000153;Vodka;Great Value
00000154;Bagels / Croissants;Great Value
00000155;Buns / Rolls;Great Value
00000156;Cake / Cookies;Great Value
00000157;Donuts / Pastries;Great Value
00000158;Fresh bread;Great Value
00000159;Pie! Pie! Pie!;Great Value
00000160;Pita bread;Great Value
00000161;Sliced bread;Great Value
00000162;Baking powder / Soda;Great Value
00000163;Bread crumbs;Great Value
00000164;Cake / Brownie mix;Great Value
00000165;Cake icing / Decorations;Great Value
00000166;Chocolate chips / Cocoa;Great Value
00000167;Flour;Great Value
00000168;Shortening;Great Value
00000169;Sugar;Great Value
00000170;Sugar substitute;Great Value
00000171;Yeast;Great Value
00000172;Candy / Gum;Great Value
00000173;Cookies;Great Value
00000174;Crackers;Great Value
00000175;Dried fruit;Great Value
00000176;Granola bars / Mix;Great Value
00000177;Nuts / Seeds;Great Value
00000178;Oatmeal;Great Value
00000179;Popcorn;Great Value
00000180;Potato / Corn chips;Great Value
00000181;Pretzels;Great Value
00000182;Burger night;Great Value
00000183;Chili night;Great Value
00000184;Pizza night;Great Value
00000185;Spaghetti night;Great Value
00000186;Taco night;Great Value
00000187;Take-out deli food;Great Value
00000188;Baby food;Great Value
00000189;Diapers;Great Value
00000190;Formula;Great Value
00000191;Lotion;Great Value
00000192;Baby wash;Great Value
00000193;Wipes;Great Value
00000194;Cat food / Treats;Great Value
00000195;Cat litter;Great Value
00000196;Dog food / Treats;Great Value
00000197;Flea treatment;Great Value
00000198;Pet shampoo;Great Value
00000199;Antiperspirant / Deodorant;Great Value
00000200;Bath soap / Hand soap;Great Value
00000201;Condoms / Other b.c.;Great Value
00000202;Cosmetics;Great Value
00000203;Cotton swabs / Balls;Great Value
00000204;Facial cleanser;Great Value
00000205;Facial tissue;Great Value
00000206;Feminine products;Great Value
00000207;Floss;Great Value
00000208;Hair gel / Spray;Great Value
00000209;Lip balm;Great Value
00000210;Moisturizing lotion;Great Value
00000211;Mouthwash;Great Value
00000212;Razors / Shaving cream;Great Value
00000213;Shampoo / Conditioner;Great Value
00000214;Sunblock;Great Value
00000215;Toilet paper;Great Value
00000216;Toothpaste;Great Value
00000217;Vitamins / Supplements;Great Value
00000218;Allergy;Great Value
00000219;Antibiotic;Great Value
00000220;Antidiarrheal;Great Value
00000221;Aspirin;Great Value
00000222;Antacid;Great Value
00000223;Band-aids / Medical;Great Value
00000224;Cold / Flu / Sinus;Great Value
00000225;Pain reliever;Great Value
00000226;Prescription pick-up;Great Value
00000227;Aluminum foil;Great Value
00000228;Napkins;Great Value
00000229;Non-stick spray;Great Value
00000230;Paper towels;Great Value
00000231;Plastic wrap;Great Value
00000232;Sandwich / Freezer bags;Great Value
00000233;Wax paper;Great Value
00000234;Asparagus;Everday Essentials
00000235;Broccoli;Everday Essentials
00000236;Carrots;Everday Essentials
00000237;Cauliflower;Everday Essentials
00000238;Celery;Everday Essentials
00000239;Corn;Everday Essentials
00000240;Cucumbers;Everday Essentials
00000241;Lettuce / Greens;Everday Essentials
00000242;Mushrooms;Everday Essentials
00000243;Onions;Everday Essentials
00000244;Peppers;Everday Essentials
00000245;Potatoes;Everday Essentials
00000246;Spinach;Everday Essentials
00000247;Squash;Everday Essentials
00000248;Zucchini;Everday Essentials
00000249;Tomatoes;Everday Essentials
00000250;Apples;Everday Essentials
00000251;Avocados;Everday Essentials
00000252;Bananas;Everday Essentials
00000253;Berries;Everday Essentials
00000254;Cherries;Everday Essentials
00000255;Grapefruit;Everday Essentials
00000256;Grapes;Everday Essentials
00000257;Kiwis;Everday Essentials
00000258;Lemons / Limes;Everday Essentials
00000259;Melon;Everday Essentials
00000260;Nectarines;Everday Essentials
00000261;Oranges;Everday Essentials
00000262;Peaches;Everday Essentials
00000263;Pears;Everday Essentials
00000264;Plums;Everday Essentials
00000265;Bagels;Everday Essentials
00000266;Chip dip;Everday Essentials
00000267;Eggs / Fake eggs;Everday Essentials
00000268;English muffins;Everday Essentials
00000269;Fruit juice;Everday Essentials
00000270;Hummus;Everday Essentials
00000271;Ready-bake breads;Everday Essentials
00000272;Tofu;Everday Essentials
00000273;Tortillas;Everday Essentials
00000274;Breakfasts;Everday Essentials
00000275;Burritos;Everday Essentials
00000276;Fish sticks;Everday Essentials
00000277;Fries / Tater tots;Everday Essentials
00000278;Ice cream / Sorbet;Everday Essentials
00000279;Juice concentrate;Everday Essentials
00000280;Pizza;Everday Essentials
00000281;Pizza Rolls;Everday Essentials
00000282;Popsicles;Everday Essentials
00000283;TV dinners;Everday Essentials
00000284;Vegetables;Everday Essentials
00000285;BBQ sauce;Everday Essentials
00000286;Gravy;Everday Essentials
00000287;Honey;Everday Essentials
00000288;Hot sauce;Everday Essentials
00000289;Jam / Jelly / Preserves;Everday Essentials
00000290;Ketchup / Mustard;Everday Essentials
00000291;Mayonnaise;Everday Essentials
00000292;Pasta sauce;Everday Essentials
00000293;Relish;Everday Essentials
00000294;Salad dressing;Everday Essentials
00000295;Salsa;Everday Essentials
00000296;Soy sauce;Everday Essentials
00000297;Steak sauce;Everday Essentials
00000298;Syrup;Everday Essentials
00000299;Worcestershire sauce;Everday Essentials
00000300;Bouillon cubes;Everday Essentials
00000301;Cereal;Everday Essentials
00000302;Coffee / Filters;Everday Essentials
00000303;Instant potatoes;Everday Essentials
00000304;Lemon / Lime juice;Everday Essentials
00000305;Mac & cheese;Everday Essentials
00000306;Olive oil;Everday Essentials
00000307;Packaged meals;Everday Essentials
00000308;Pancake / Waffle mix;Everday Essentials
00000309;Pasta;Everday Essentials
00000310;Peanut butter;Everday Essentials
00000311;Pickles;Everday Essentials
00000312;Rice;Everday Essentials
00000313;Tea;Everday Essentials
00000314;Vegetable oil;Everday Essentials
00000315;Vinegar;Everday Essentials
00000316;Applesauce;Everday Essentials
00000317;Baked beans;Everday Essentials
00000318;Broth;Everday Essentials
00000319;Fruit;Everday Essentials
00000320;Olives;Everday Essentials
00000321;Tinned meats;Everday Essentials
00000322;Tuna / Chicken;Everday Essentials
00000323;Soup / Chili;Everday Essentials
00000324;Tomatoes;Everday Essentials
00000325;Veggies;Everday Essentials
00000326;Basil;Everday Essentials
00000327;Black pepper;Everday Essentials
00000328;Cilantro;Everday Essentials
00000329;Cinnamon;Everday Essentials
00000330;Garlic;Everday Essentials
00000331;Ginger;Everday Essentials
00000332;Mint;Everday Essentials
00000333;Oregano;Everday Essentials
00000334;Paprika;Everday Essentials
00000335;Parsley;Everday Essentials
00000336;Red pepper;Everday Essentials
00000337;Salt;Everday Essentials
00000338;Vanilla extract;Everday Essentials
00000339;Butter / Margarine;Everday Essentials
00000340;Cottage cheese;Everday Essentials
00000341;Half & half;Everday Essentials
00000342;Milk;Everday Essentials
00000343;Sour cream;Everday Essentials
00000344;Whipped cream;Everday Essentials
00000345;Yogurt;Everday Essentials
00000346;Bleu cheese;Everday Essentials
00000347;Cheddar;Everday Essentials
00000348;Cottage cheese;Everday Essentials
00000349;Cream cheese;Everday Essentials
00000350;Feta;Everday Essentials
00000351;Goat cheese;Everday Essentials
00000352;Mozzarella;Everday Essentials
00000353;Parmesan;Everday Essentials
00000354;Provolone;Everday Essentials
00000355;Ricotta;Everday Essentials
00000356;Sandwich slices;Everday Essentials
00000357;Swiss;Everday Essentials
00000358;Bacon / Sausage;Everday Essentials
00000359;Beef;Everday Essentials
00000360;Chicken;Everday Essentials
00000361;Ground beef / Turkey;Everday Essentials
00000362;Ham / Pork;Everday Essentials
00000363;Hot dogs;Everday Essentials
00000364;Lunchmeat;Everday Essentials
00000365;Turkey;Everday Essentials
00000366;Catfish;Everday Essentials
00000367;Crab;Everday Essentials
00000368;Lobster;Everday Essentials
00000369;Mussels;Everday Essentials
00000370;Oysters;Everday Essentials
00000371;Salmon;Everday Essentials
00000372;Shrimp;Everday Essentials
00000373;Tilapia;Everday Essentials
00000374;Tuna;Everday Essentials
00000375;Beer;Everday Essentials
00000376;Club soda / Tonic;Everday Essentials
00000377;Champagne;Everday Essentials
00000378;Gin;Everday Essentials
00000379;Juice;Everday Essentials
00000380;Mixers;Everday Essentials
00000381;Red wine / White wine;Everday Essentials
00000382;Rum;Everday Essentials
00000383;Saké;Everday Essentials
00000384;Soda pop;Everday Essentials
00000385;Sports drink;Everday Essentials
00000386;Whiskey;Everday Essentials
00000387;Vodka;Everday Essentials
00000388;Bagels / Croissants;Everday Essentials
00000389;Buns / Rolls;Everday Essentials
00000390;Cake / Cookies;Everday Essentials
00000391;Donuts / Pastries;Everday Essentials
00000392;Fresh bread;Everday Essentials
00000393;Pie! Pie! Pie!;Everday Essentials
00000394;Pita bread;Everday Essentials
00000395;Sliced bread;Everday Essentials
00000396;Baking powder / Soda;Everday Essentials
00000397;Bread crumbs;Everday Essentials
00000398;Cake / Brownie mix;Everday Essentials
00000399;Cake icing / Decorations;Everday Essentials
00000400;Chocolate chips / Cocoa;Everday Essentials
00000401;Flour;Everday Essentials
00000402;Shortening;Everday Essentials
00000403;Sugar;Everday Essentials
00000404;Sugar substitute;Everday Essentials
00000405;Yeast;Everday Essentials
00000406;Candy / Gum;Everday Essentials
00000407;Cookies;Everday Essentials
00000408;Crackers;Everday Essentials
00000409;Dried fruit;Everday Essentials
00000410;Granola bars / Mix;Everday Essentials
00000411;Nuts / Seeds;Everday Essentials
00000412;Oatmeal;Everday Essentials
00000413;Popcorn;Everday Essentials
00000414;Potato / Corn chips;Everday Essentials
00000415;Pretzels;Everday Essentials
00000416;Burger night;Everday Essentials
00000417;Chili night;Everday Essentials
00000418;Pizza night;Everday Essentials
00000419;Spaghetti night;Everday Essentials
00000420;Taco night;Everday Essentials
00000421;Take-out deli food;Everday Essentials
00000422;Baby food;Everday Essentials
00000423;Diapers;Everday Essentials
00000424;Formula;Everday Essentials
00000425;Lotion;Everday Essentials
00000426;Baby wash;Everday Essentials
00000427;Wipes;Everday Essentials
00000428;Cat food / Treats;Everday Essentials
00000429;Cat litter;Everday Essentials
00000430;Dog food / Treats;Everday Essentials
00000431;Flea treatment;Everday Essentials
00000432;Pet shampoo;Everday Essentials
00000433;Antiperspirant / Deodorant;Everday Essentials
00000434;Bath soap / Hand soap;Everday Essentials
00000435;Condoms / Other b.c.;Everday Essentials
00000436;Cosmetics;Everday Essentials
00000437;Cotton swabs / Balls;Everday Essentials
00000438;Facial cleanser;Everday Essentials
00000439;Facial tissue;Everday Essentials
00000440;Feminine products;Everday Essentials
00000441;Floss;Everday Essentials
00000442;Hair gel / Spray;Everday Essentials
00000443;Lip balm;Everday Essentials
00000444;Moisturizing lotion;Everday Essentials
00000445;Mouthwash;Everday Essentials
00000446;Razors / Shaving cream;Everday Essentials
00000447;Shampoo / Conditioner;Everday Essentials
00000448;Sunblock;Everday Essentials
00000449;Toilet paper;Everday Essentials
00000450;Toothpaste;Everday Essentials
00000451;Vitamins / Supplements;Everday Essentials
00000452;Allergy;Everday Essentials
00000453;Antibiotic;Everday Essentials
00000454;Antidiarrheal;Everday Essentials
00000455;Aspirin;Everday Essentials
00000456;Antacid;Everday Essentials
00000457;Band-aids / Medical;Everday Essentials
00000458;Cold / Flu / Sinus;Everday Essentials
00000459;Pain reliever;Everday Essentials
00000460;Prescription pick-up;Everday Essentials
00000461;Aluminum foil;Everday Essentials
00000462;Napkins;Everday Essentials
00000463;Non-stick spray;Everday Essentials
00000464;Paper towels;Everday Essentials
00000465;Plastic wrap;Everday Essentials
00000466;Sandwich / Freezer bags;Everday Essentials
00000467;Wax paper;Everday Essentials
